RASP Year,Region,Subregion,Nationality,Count
13/14,Oceania,Oceania,FRENCH TERRITORIAL COLLECTIVITY,1
13/14,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,9
13/14,South America,South America,BRAZIL,19
13/14,South America,South America,COLOMBIA,2
13/14,South America,South America,ECUADOR,1
13/14,South America,South America,VENEZUELA,3
14/15,Africa,Central Africa,ANGOLA,7
14/15,Africa,Central Africa,CAMEROON,8
14/15,Africa,Central Africa,CONGO,1
14/15,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},1
14/15,Africa,Central Africa,GABON,2
14/15,Africa,East Africa,DJIBOUTI,1
14/15,Africa,East Africa,ERITREA,5
14/15,Africa,East Africa,ETHIOPIA,1
14/15,Africa,East Africa,KENYA,22
14/15,Africa,East Africa,MADAGASCAR,1
14/15,Africa,East Africa,MALAWI,9
14/15,Africa,East Africa,MAURITIUS,43
14/15,Africa,East Africa,MOZAMBIQUE,1
14/15,Africa,East Africa,RWANDA,1
14/15,Africa,East Africa,SOMALIA,22
14/15,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",5
14/15,Africa,East Africa,UGANDA,13
14/15,Africa,East Africa,ZAMBIA,9
14/15,Africa,Eastern Africa,BRITISH INDIAN OCEAN TERRITORY,1
14/15,Africa,Eastern Africa,SEYCHELLES,1
14/15,Africa,North Africa,ALGERIA,4
14/15,Africa,North Africa,EGYPT,19
14/15,Africa,North Africa,LIBYA,7
14/15,Africa,North Africa,MOROCCO,4
14/15,Africa,North Africa,SUDAN,7
14/15,Africa,North Africa,TUNISIA,5
14/15,Africa,Southern Africa,BOTSWANA,4
14/15,Africa,Southern Africa,ESWATINI,1
14/15,Africa,Southern Africa,LESOTHO,1
14/15,Africa,Southern Africa,NAMIBIA,1
14/15,Africa,Southern Africa,SOUTH AFRICA,17
14/15,Africa,Southern Africa,ZIMBABWE,59
14/15,Africa,West Africa,CAPE VERDE ISLANDS,1
14/15,Africa,West Africa,COTE D'IVOIRE,1
14/15,Africa,West Africa,"GAMBIA, THE",9
14/15,Africa,West Africa,GHANA,39
14/15,Africa,West Africa,IVORY COAST {COTE D IVOIRE},1
14/15,Africa,West Africa,LIBERIA,2
14/15,Africa,West Africa,MAURITANIA,1
14/15,Africa,West Africa,NIGERIA,235
14/15,Africa,West Africa,SENEGAL,1
14/15,Africa,West Africa,SIERRA LEONE,3
14/15,Asia,Caucasus,AZERBAIJAN,2
14/15,Asia,Caucasus,GEORGIA,1
14/15,Asia,Central Asia,KAZAKHSTAN,5
14/15,Asia,Central Asia,UZBEKISTAN,1
14/15,Asia,East Asia,CHINA,357
14/15,Asia,East Asia,HONG KONG,51
14/15,Asia,East Asia,JAPAN,7
14/15,Asia,East Asia,KOREA (SOUTH),7
14/15,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",16
14/15,Asia,Middle East,BAHRAIN,2
14/15,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",14
14/15,Asia,Middle East,IRAQ,3
14/15,Asia,Middle East,JORDAN,29
14/15,Asia,Middle East,KUWAIT,24
14/15,Asia,Middle East,LEBANON,1
14/15,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,5
14/15,Asia,Middle East,OMAN,6
14/15,Asia,Middle East,QATAR,1
14/15,Asia,Middle East,SAUDI ARABIA,47
14/15,Asia,Middle East,SYRIA,2
14/15,Asia,Middle East,TURKEY,9
14/15,Asia,Middle East,UNITED ARAB EMIRATES,1
14/15,Asia,Middle East,YEMEN,1
14/15,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,1
14/15,Asia,South Asia,AFGHANISTAN,5
14/15,Asia,South Asia,BANGLADESH,45
14/15,Asia,South Asia,INDIA,91
14/15,Asia,South Asia,MALDIVES,2
14/15,Asia,South Asia,NEPAL,20
14/15,Asia,South Asia,PAKISTAN,50
14/15,Asia,South Asia,SRI LANKA,10
14/15,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),2
14/15,Asia,Southeast Asia,BURMA/MYANMAR,14
14/15,Asia,Southeast Asia,CAMBODIA,8
14/15,Asia,Southeast Asia,INDONESIA,21
14/15,Asia,Southeast Asia,MALAYSIA,676
14/15,Asia,Southeast Asia,PHILIPPINES,23
14/15,Asia,Southeast Asia,SINGAPORE,9
14/15,Asia,Southeast Asia,THAILAND,74
14/15,Asia,Southeast Asia,VIETNAM,242
14/15,Europe,Eastern Europe,BELARUS,1
14/15,Europe,Eastern Europe,BULGARIA,31
14/15,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),4
14/15,Europe,Eastern Europe,CYPRUS EU,84
14/15,Europe,Eastern Europe,CZECH REPUBLIC,8
14/15,Europe,Eastern Europe,HUNGARY,25
14/15,Europe,Eastern Europe,LATVIA,22
14/15,Europe,Eastern Europe,LITHUANIA,43
14/15,Europe,Eastern Europe,POLAND,126
14/15,Europe,Eastern Europe,ROMANIA,24
14/15,Europe,Eastern Europe,SERBIA,2
14/15,Europe,Eastern Europe,SLOVAKIA,9
14/15,Europe,Eastern Europe,UKRAINE,6
14/15,Europe,Northern Europe,DENMARK,16
14/15,Europe,Northern Europe,ESTONIA,2
14/15,Europe,Northern Europe,FINLAND,13
14/15,Europe,Northern Europe,ICELAND,2
14/15,Europe,Northern Europe,ISLE OF MAN,1
14/15,Europe,Northern Europe,NORWAY,8
14/15,Europe,Northern Europe,SWEDEN,20
14/15,Europe,Southern Europe,ALBANIA,4
14/15,Europe,Southern Europe,CROATIA,2
14/15,Europe,Southern Europe,GIBRALTAR,7
14/15,Europe,Southern Europe,GREECE,43
14/15,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",65
14/15,Europe,Southern Europe,MALTA,8
14/15,Europe,Southern Europe,MONTENEGRO,1
14/15,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,58
14/15,Europe,Southern Europe,SLOVENIA,1
14/15,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,89
14/15,Europe,Western Europe,AUSTRIA,8
14/15,Europe,Western Europe,BELGIUM,9
14/15,Europe,Western Europe,ENGLAND,8
14/15,Europe,Western Europe,FRANCE {INCLUDES CORSICA},59
14/15,Europe,Western Europe,GERMANY,93
14/15,Europe,Western Europe,GUERNSEY,3
14/15,Europe,Western Europe,IRELAND,126
14/15,Europe,Western Europe,JERSEY,4
14/15,Europe,Western Europe,LUXEMBOURG,2
14/15,Europe,Western Europe,NETHERLANDS,79
14/15,Europe,Western Europe,SWITZERLAND,9
14/15,Europe/Asia,Eastern Europe,RUSSIA,13
14/15,North America,Caribbean,BAHAMAS,4
14/15,North America,Caribbean,BERMUDA,9
14/15,North America,Caribbean,BRITISH VIRGIN ISLANDS,1
14/15,North America,Caribbean,CAYMAN ISLANDS,1
14/15,North America,Caribbean,DOMINICA,1
14/15,North America,Caribbean,JAMAICA,7
14/15,North America,Caribbean,ST LUCIA,1
14/15,North America,Caribbean,ST VINCENT AND THE GRENADINES,3
14/15,North America,Caribbean,TRINIDAD AND TOBAGO,3
14/15,North America,Caribbean,TURKS AND CAICOS ISLANDS,1
14/15,North America,Central America,GUATEMALA,1
14/15,North America,North America,CANADA,17
14/15,North America,North America,MEXICO,7
14/15,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,35
14/15,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,9
14/15,Oceania,Oceania,FIJI,2
14/15,Oceania,Oceania,FRENCH TERRITORIAL COLLECTIVITY,1
14/15,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,8
14/15,South America,South America,BRAZIL,11
14/15,South America,South America,COLOMBIA,6
14/15,South America,South America,ECUADOR,1
14/15,South America,South America,GUYANA,2
14/15,South America,South America,VENEZUELA,5
15/16,Africa,Central Africa,ANGOLA,10
15/16,Africa,Central Africa,CAMEROON,8
15/16,Africa,Central Africa,CONGO,2
15/16,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},2
15/16,Africa,Central Africa,EQUATORIAL GUINEA,1
15/16,Africa,Central Africa,GABON,2
15/16,Africa,East Africa,ERITREA,5
15/16,Africa,East Africa,ETHIOPIA,1
15/16,Africa,East Africa,KENYA,23
15/16,Africa,East Africa,MALAWI,9
15/16,Africa,East Africa,MAURITIUS,39
15/16,Africa,East Africa,SOMALIA,21
15/16,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",6
15/16,Africa,East Africa,UGANDA,16
15/16,Africa,East Africa,ZAMBIA,5
15/16,Africa,Eastern Africa,BRITISH INDIAN OCEAN TERRITORY,1
15/16,Africa,Eastern Africa,SEYCHELLES,1
15/16,Africa,North Africa,ALGERIA,6
15/16,Africa,North Africa,EGYPT,32
15/16,Africa,North Africa,LIBYA,8
15/16,Africa,North Africa,MOROCCO,5
15/16,Africa,North Africa,SUDAN,11
15/16,Africa,North Africa,TUNISIA,5
15/16,Africa,Southern Africa,BOTSWANA,4
15/16,Africa,Southern Africa,NAMIBIA,1
15/16,Africa,Southern Africa,SOUTH AFRICA,21
15/16,Africa,Southern Africa,ZIMBABWE,62
15/16,Africa,West Africa,"GAMBIA, THE",6
15/16,Africa,West Africa,GHANA,33
15/16,Africa,West Africa,IVORY COAST {COTE D IVOIRE},1
15/16,Africa,West Africa,LIBERIA,2
15/16,Africa,West Africa,MAURITANIA,1
15/16,Africa,West Africa,NIGERIA,227
15/16,Africa,West Africa,SENEGAL,1
15/16,Africa,West Africa,SIERRA LEONE,2
15/16,Asia,Caucasus,AZERBAIJAN,1
15/16,Asia,Caucasus,GEORGIA,2
15/16,Asia,Central Asia,KAZAKHSTAN,7
15/16,Asia,Central Asia,UZBEKISTAN,1
15/16,Asia,East Asia,CHINA,322
15/16,Asia,East Asia,HONG KONG,69
15/16,Asia,East Asia,JAPAN,6
15/16,Asia,East Asia,KOREA (SOUTH),7
15/16,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",18
15/16,Asia,Middle East,BAHRAIN,4
15/16,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",11
15/16,Asia,Middle East,IRAQ,7
15/16,Asia,Middle East,JORDAN,35
15/16,Asia,Middle East,KUWAIT,17
15/16,Asia,Middle East,LEBANON,4
15/16,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,5
15/16,Asia,Middle East,OMAN,7
15/16,Asia,Middle East,QATAR,6
15/16,Asia,Middle East,SAUDI ARABIA,57
15/16,Asia,Middle East,SYRIA,3
15/16,Asia,Middle East,TURKEY,10
15/16,Asia,Middle East,UNITED ARAB EMIRATES,1
15/16,Asia,Middle East,YEMEN,1
15/16,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,2
15/16,Asia,South Asia,AFGHANISTAN,4
15/16,Asia,South Asia,BANGLADESH,81
15/16,Asia,South Asia,INDIA,86
15/16,Asia,South Asia,MALDIVES,1
15/16,Asia,South Asia,NEPAL,21
15/16,Asia,South Asia,PAKISTAN,58
15/16,Asia,South Asia,SRI LANKA,16
15/16,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),5
15/16,Asia,Southeast Asia,BURMA/MYANMAR,14
15/16,Asia,Southeast Asia,CAMBODIA,3
15/16,Asia,Southeast Asia,INDONESIA,20
15/16,Asia,Southeast Asia,MALAYSIA,571
15/16,Asia,Southeast Asia,PHILIPPINES,28
15/16,Asia,Southeast Asia,SINGAPORE,12
15/16,Asia,Southeast Asia,THAILAND,118
15/16,Asia,Southeast Asia,VIETNAM,275
15/16,Europe,Eastern Europe,BULGARIA,39
15/16,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),4
15/16,Europe,Eastern Europe,CYPRUS EU,90
15/16,Europe,Eastern Europe,CZECH REPUBLIC,11
15/16,Europe,Eastern Europe,HUNGARY,26
15/16,Europe,Eastern Europe,LATVIA,24
15/16,Europe,Eastern Europe,LITHUANIA,45
15/16,Europe,Eastern Europe,"MOLDOVA [MOLDOVA, REPUBLIC OF]",1
15/16,Europe,Eastern Europe,POLAND,135
15/16,Europe,Eastern Europe,ROMANIA,44
15/16,Europe,Eastern Europe,SERBIA,1
15/16,Europe,Eastern Europe,SLOVAKIA,13
15/16,Europe,Eastern Europe,UKRAINE,2
15/16,Europe,Northern Europe,DENMARK,14
15/16,Europe,Northern Europe,ESTONIA,4
15/16,Europe,Northern Europe,FINLAND,16
15/16,Europe,Northern Europe,ICELAND,2
15/16,Europe,Northern Europe,NORWAY,14
15/16,Europe,Northern Europe,SWEDEN,25
15/16,Europe,Southern Europe,ALBANIA,2
15/16,Europe,Southern Europe,CROATIA,2
15/16,Europe,Southern Europe,GIBRALTAR,4
15/16,Europe,Southern Europe,GREECE,51
15/16,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",84
15/16,Europe,Southern Europe,MALTA,4
15/16,Europe,Southern Europe,MONTENEGRO,1
15/16,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,56
15/16,Europe,Southern Europe,SLOVENIA,1
15/16,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,114
15/16,Europe,Western Europe,AUSTRIA,8
15/16,Europe,Western Europe,BELGIUM,10
15/16,Europe,Western Europe,ENGLAND,9
15/16,Europe,Western Europe,FRANCE {INCLUDES CORSICA},65
15/16,Europe,Western Europe,GERMANY,84
15/16,Europe,Western Europe,GUERNSEY,4
15/16,Europe,Western Europe,IRELAND,128
15/16,Europe,Western Europe,JERSEY,6
15/16,Europe,Western Europe,LUXEMBOURG,1
15/16,Europe,Western Europe,NETHERLANDS,93
15/16,Europe,Western Europe,SCOTLAND,1
15/16,Europe,Western Europe,SWITZERLAND,8
15/16,Europe/Asia,Eastern Europe,RUSSIA,15
15/16,North America,Caribbean,ANGUILLA,1
15/16,North America,Caribbean,BAHAMAS,4
15/16,North America,Caribbean,BARBADOS,2
15/16,North America,Caribbean,BERMUDA,7
15/16,North America,Caribbean,BRITISH VIRGIN ISLANDS,3
15/16,North America,Caribbean,CAYMAN ISLANDS,2
15/16,North America,Caribbean,DOMINICA,1
15/16,North America,Caribbean,JAMAICA,12
15/16,North America,Caribbean,ST KITTS NEVIS,1
15/16,North America,Caribbean,ST VINCENT AND THE GRENADINES,2
15/16,North America,Caribbean,TRINIDAD AND TOBAGO,3
15/16,North America,Caribbean,TURKS AND CAICOS ISLANDS,1
15/16,North America,Central America,BELIZE,1
15/16,North America,Central America,EL SALVADOR,1
15/16,North America,Central America,GUATEMALA,1
15/16,North America,Central America,HONDURAS,1
15/16,North America,North America,CANADA,10
15/16,North America,North America,MEXICO,9
15/16,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,43
15/16,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,11
15/16,Oceania,Oceania,FIJI,1
15/16,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,7
15/16,South America,South America,BOLIVIA,1
15/16,South America,South America,BRAZIL,10
15/16,South America,South America,COLOMBIA,8
15/16,South America,South America,ECUADOR,2
15/16,South America,South America,GUYANA,2
15/16,South America,South America,VENEZUELA,2
16/17,Africa,Central Africa,ANGOLA,15
16/17,Africa,Central Africa,CAMEROON,6
16/17,Africa,Central Africa,CONGO,2
16/17,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},2
16/17,Africa,East Africa,ERITREA,3
16/17,Africa,East Africa,ETHIOPIA,2
16/17,Africa,East Africa,KENYA,36
16/17,Africa,East Africa,MALAWI,6
16/17,Africa,East Africa,MAURITIUS,38
16/17,Africa,East Africa,SOMALIA,19
16/17,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",9
16/17,Africa,East Africa,UGANDA,18
16/17,Africa,East Africa,ZAMBIA,10
16/17,Africa,Eastern Africa,SEYCHELLES,2
16/17,Africa,North Africa,ALGERIA,7
16/17,Africa,North Africa,EGYPT,58
16/17,Africa,North Africa,LIBYA,9
16/17,Africa,North Africa,MOROCCO,7
16/17,Africa,North Africa,SUDAN,10
16/17,Africa,North Africa,TUNISIA,5
16/17,Africa,Southern Africa,BOTSWANA,3
16/17,Africa,Southern Africa,LESOTHO,1
16/17,Africa,Southern Africa,NAMIBIA,2
16/17,Africa,Southern Africa,SOUTH AFRICA,26
16/17,Africa,Southern Africa,ZIMBABWE,63
16/17,Africa,West Africa,CAPE VERDE ISLANDS,1
16/17,Africa,West Africa,"GAMBIA, THE",6
16/17,Africa,West Africa,GHANA,37
16/17,Africa,West Africa,GUINEA,1
16/17,Africa,West Africa,IVORY COAST {COTE D IVOIRE},1
16/17,Africa,West Africa,LIBERIA,2
16/17,Africa,West Africa,NIGERIA,210
16/17,Africa,West Africa,SIERRA LEONE,3
16/17,Antarctica,Antarctica,BRITISH ANTARCTICA,2
16/17,Asia,Caucasus,ARMENIA,1
16/17,Asia,Caucasus,AZERBAIJAN,2
16/17,Asia,Caucasus,GEORGIA,2
16/17,Asia,Central Asia,KAZAKHSTAN,6
16/17,Asia,Central Asia,TURKMENISTAN,1
16/17,Asia,East Asia,CHINA,284
16/17,Asia,East Asia,HONG KONG,64
16/17,Asia,East Asia,JAPAN,8
16/17,Asia,East Asia,KOREA (SOUTH),7
16/17,Asia,East Asia,MACAO,1
16/17,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",15
16/17,Asia,Middle East,BAHRAIN,4
16/17,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",11
16/17,Asia,Middle East,IRAQ,9
16/17,Asia,Middle East,ISRAEL,2
16/17,Asia,Middle East,JORDAN,55
16/17,Asia,Middle East,KUWAIT,6
16/17,Asia,Middle East,LEBANON,6
16/17,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,3
16/17,Asia,Middle East,OMAN,13
16/17,Asia,Middle East,QATAR,10
16/17,Asia,Middle East,SAUDI ARABIA,54
16/17,Asia,Middle East,SYRIA,2
16/17,Asia,Middle East,TURKEY,11
16/17,Asia,Middle East,UNITED ARAB EMIRATES,1
16/17,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,2
16/17,Asia,South Asia,AFGHANISTAN,4
16/17,Asia,South Asia,BANGLADESH,105
16/17,Asia,South Asia,INDIA,90
16/17,Asia,South Asia,MALDIVES,6
16/17,Asia,South Asia,NEPAL,19
16/17,Asia,South Asia,PAKISTAN,47
16/17,Asia,South Asia,SRI LANKA,16
16/17,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),8
16/17,Asia,Southeast Asia,BURMA/MYANMAR,15
16/17,Asia,Southeast Asia,CAMBODIA,2
16/17,Asia,Southeast Asia,INDONESIA,22
16/17,Asia,Southeast Asia,LAOS,1
16/17,Asia,Southeast Asia,MALAYSIA,494
16/17,Asia,Southeast Asia,PHILIPPINES,34
16/17,Asia,Southeast Asia,SINGAPORE,10
16/17,Asia,Southeast Asia,THAILAND,163
16/17,Asia,Southeast Asia,VIETNAM,269
16/17,Europe,Eastern Europe,BULGARIA,43
16/17,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),1
16/17,Europe,Eastern Europe,CYPRUS EU,101
16/17,Europe,Eastern Europe,CZECH REPUBLIC,31
16/17,Europe,Eastern Europe,HUNGARY,35
16/17,Europe,Eastern Europe,LATVIA,25
16/17,Europe,Eastern Europe,LITHUANIA,45
16/17,Europe,Eastern Europe,MACEDONIA [THE FORMER YUGOSLAV REPUBLIC OF],1
16/17,Europe,Eastern Europe,POLAND,157
16/17,Europe,Eastern Europe,ROMANIA,62
16/17,Europe,Eastern Europe,SERBIA,1
16/17,Europe,Eastern Europe,SLOVAKIA,19
16/17,Europe,Eastern Europe,UKRAINE,1
16/17,Europe,Northern Europe,DENMARK,19
16/17,Europe,Northern Europe,ESTONIA,5
16/17,Europe,Northern Europe,FINLAND,22
16/17,Europe,Northern Europe,ICELAND,1
16/17,Europe,Northern Europe,ISLE OF MAN,2
16/17,Europe,Northern Europe,NORWAY,17
16/17,Europe,Northern Europe,SWEDEN,38
16/17,Europe,Southern Europe,ALBANIA,1
16/17,Europe,Southern Europe,CROATIA,2
16/17,Europe,Southern Europe,GIBRALTAR,3
16/17,Europe,Southern Europe,GREECE,61
16/17,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",120
16/17,Europe,Southern Europe,MALTA,6
16/17,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,66
16/17,Europe,Southern Europe,SLOVENIA,1
16/17,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,118
16/17,Europe,Western Europe,AUSTRIA,14
16/17,Europe,Western Europe,BELGIUM,9
16/17,Europe,Western Europe,ENGLAND,9
16/17,Europe,Western Europe,FRANCE {INCLUDES CORSICA},82
16/17,Europe,Western Europe,GERMANY,103
16/17,Europe,Western Europe,GUERNSEY,3
16/17,Europe,Western Europe,IRELAND,122
16/17,Europe,Western Europe,JERSEY,5
16/17,Europe,Western Europe,NETHERLANDS,94
16/17,Europe,Western Europe,SWITZERLAND,11
16/17,Europe/Asia,Eastern Europe,RUSSIA,15
16/17,North America,Caribbean,ANGUILLA,2
16/17,North America,Caribbean,BAHAMAS,1
16/17,North America,Caribbean,BARBADOS,3
16/17,North America,Caribbean,BERMUDA,12
16/17,North America,Caribbean,BRITISH VIRGIN ISLANDS,3
16/17,North America,Caribbean,CAYMAN ISLANDS,1
16/17,North America,Caribbean,DOMINICA,1
16/17,North America,Caribbean,JAMAICA,12
16/17,North America,Caribbean,ST KITTS NEVIS,2
16/17,North America,Caribbean,ST LUCIA,2
16/17,North America,Caribbean,TRINIDAD AND TOBAGO,4
16/17,North America,Caribbean,TURKS AND CAICOS ISLANDS,1
16/17,North America,Central America,BELIZE,1
16/17,North America,Central America,EL SALVADOR,2
16/17,North America,Central America,HONDURAS,1
16/17,North America,Central America,NICARAGUA,1
16/17,North America,North America,CANADA,13
16/17,North America,North America,MEXICO,16
16/17,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,56
16/17,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,11
16/17,Oceania,Oceania,FIJI,1
16/17,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,6
16/17,South America,South America,BOLIVIA,1
16/17,South America,South America,BRAZIL,15
16/17,South America,South America,COLOMBIA,9
16/17,South America,South America,ECUADOR,2
16/17,South America,South America,FALKLAND ISLANDS [FALKLAND ISLANDS (MALVINAS)],1
16/17,South America,South America,GUYANA,2
17/18,Africa,Central Africa,ANGOLA,16
17/18,Africa,Central Africa,CAMEROON,6
17/18,Africa,Central Africa,CONGO,2
17/18,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},2
17/18,Africa,East Africa,BURUNDI,1
17/18,Africa,East Africa,DJIBOUTI,1
17/18,Africa,East Africa,ERITREA,3
17/18,Africa,East Africa,ETHIOPIA,2
17/18,Africa,East Africa,KENYA,34
17/18,Africa,East Africa,MALAWI,6
17/18,Africa,East Africa,MAURITIUS,41
17/18,Africa,East Africa,SOMALIA,16
17/18,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",7
17/18,Africa,East Africa,UGANDA,17
17/18,Africa,East Africa,ZAMBIA,9
17/18,Africa,Eastern Africa,SEYCHELLES,3
17/18,Africa,North Africa,ALGERIA,5
17/18,Africa,North Africa,EGYPT,86
17/18,Africa,North Africa,LIBYA,9
17/18,Africa,North Africa,MOROCCO,5
17/18,Africa,North Africa,SUDAN,12
17/18,Africa,North Africa,TUNISIA,4
17/18,Africa,Southern Africa,BOTSWANA,2
17/18,Africa,Southern Africa,LESOTHO,1
17/18,Africa,Southern Africa,NAMIBIA,4
17/18,Africa,Southern Africa,SOUTH AFRICA,28
17/18,Africa,Southern Africa,ZIMBABWE,57
17/18,Africa,West Africa,CAPE VERDE ISLANDS,1
17/18,Africa,West Africa,COTE D'IVOIRE,1
17/18,Africa,West Africa,"GAMBIA, THE",2
17/18,Africa,West Africa,GHANA,26
17/18,Africa,West Africa,GUINEA,1
17/18,Africa,West Africa,LIBERIA,1
17/18,Africa,West Africa,NIGERIA,174
17/18,Africa,West Africa,SIERRA LEONE,4
17/18,Antarctica,Antarctica,BRITISH ANTARCTICA,2
17/18,Asia,Caucasus,AZERBAIJAN,1
17/18,Asia,Central Asia,KAZAKHSTAN,6
17/18,Asia,Central Asia,KYRGYZSTAN,1
17/18,Asia,Central Asia,MONGOLIA,2
17/18,Asia,Central Asia,TURKMENISTAN,1
17/18,Asia,East Asia,CHINA,313
17/18,Asia,East Asia,HONG KONG,142
17/18,Asia,East Asia,JAPAN,7
17/18,Asia,East Asia,KOREA (SOUTH),8
17/18,Asia,East Asia,MACAO,1
17/18,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",14
17/18,Asia,Middle East,BAHRAIN,4
17/18,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",17
17/18,Asia,Middle East,IRAQ,7
17/18,Asia,Middle East,ISRAEL,2
17/18,Asia,Middle East,JORDAN,67
17/18,Asia,Middle East,KUWAIT,1
17/18,Asia,Middle East,LEBANON,8
17/18,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,2
17/18,Asia,Middle East,OMAN,15
17/18,Asia,Middle East,QATAR,15
17/18,Asia,Middle East,SAUDI ARABIA,45
17/18,Asia,Middle East,SYRIA,7
17/18,Asia,Middle East,TURKEY,12
17/18,Asia,Middle East,UNITED ARAB EMIRATES,1
17/18,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,1
17/18,Asia,South Asia,AFGHANISTAN,3
17/18,Asia,South Asia,BANGLADESH,93
17/18,Asia,South Asia,INDIA,101
17/18,Asia,South Asia,MALDIVES,8
17/18,Asia,South Asia,NEPAL,18
17/18,Asia,South Asia,PAKISTAN,59
17/18,Asia,South Asia,SRI LANKA,14
17/18,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),5
17/18,Asia,Southeast Asia,BURMA/MYANMAR,20
17/18,Asia,Southeast Asia,CAMBODIA,5
17/18,Asia,Southeast Asia,INDONESIA,31
17/18,Asia,Southeast Asia,MALAYSIA,435
17/18,Asia,Southeast Asia,PHILIPPINES,40
17/18,Asia,Southeast Asia,SINGAPORE,11
