RASP Year,Region,Subregion,Nationality,Count
17/18,Asia,Southeast Asia,THAILAND,161
17/18,Asia,Southeast Asia,VIETNAM,263
17/18,Europe,Eastern Europe,BELARUS,1
17/18,Europe,Eastern Europe,BULGARIA,62
17/18,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),1
17/18,Europe,Eastern Europe,CYPRUS EU,102
17/18,Europe,Eastern Europe,CZECH REPUBLIC,53
17/18,Europe,Eastern Europe,HUNGARY,29
17/18,Europe,Eastern Europe,LATVIA,25
17/18,Europe,Eastern Europe,LITHUANIA,51
17/18,Europe,Eastern Europe,MACEDONIA [THE FORMER YUGOSLAV REPUBLIC OF],1
17/18,Europe,Eastern Europe,POLAND,193
17/18,Europe,Eastern Europe,ROMANIA,88
17/18,Europe,Eastern Europe,SLOVAKIA,24
17/18,Europe,Eastern Europe,UKRAINE,4
17/18,Europe,Northern Europe,DENMARK,13
17/18,Europe,Northern Europe,ESTONIA,5
17/18,Europe,Northern Europe,FINLAND,29
17/18,Europe,Northern Europe,ISLE OF MAN,2
17/18,Europe,Northern Europe,NORWAY,19
17/18,Europe,Northern Europe,SWEDEN,44
17/18,Europe,Southern Europe,ALBANIA,1
17/18,Europe,Southern Europe,CROATIA,2
17/18,Europe,Southern Europe,GIBRALTAR,4
17/18,Europe,Southern Europe,GREECE,69
17/18,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",136
17/18,Europe,Southern Europe,MALTA,3
17/18,Europe,Southern Europe,MONTENEGRO,1
17/18,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,88
17/18,Europe,Southern Europe,SLOVENIA,1
17/18,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,113
17/18,Europe,Western Europe,AUSTRIA,14
17/18,Europe,Western Europe,BELGIUM,12
17/18,Europe,Western Europe,ENGLAND,14
17/18,Europe,Western Europe,FRANCE {INCLUDES CORSICA},76
17/18,Europe,Western Europe,GERMANY,100
17/18,Europe,Western Europe,GUERNSEY,3
17/18,Europe,Western Europe,IRELAND,130
17/18,Europe,Western Europe,JERSEY,2
17/18,Europe,Western Europe,LUXEMBOURG,1
17/18,Europe,Western Europe,NETHERLANDS,96
17/18,Europe,Western Europe,SWITZERLAND,9
17/18,Europe/Asia,Eastern Europe,RUSSIA,16
17/18,North America,Caribbean,ANGUILLA,2
17/18,North America,Caribbean,BAHAMAS,1
17/18,North America,Caribbean,BARBADOS,3
17/18,North America,Caribbean,BERMUDA,14
17/18,North America,Caribbean,BRITISH VIRGIN ISLANDS,3
17/18,North America,Caribbean,CAYMAN ISLANDS,1
17/18,North America,Caribbean,CUBA,1
17/18,North America,Caribbean,DOMINICA,3
17/18,North America,Caribbean,JAMAICA,12
17/18,North America,Caribbean,ST KITTS NEVIS,1
17/18,North America,Caribbean,ST LUCIA,2
17/18,North America,Caribbean,TRINIDAD AND TOBAGO,5
17/18,North America,Caribbean,TURKS AND CAICOS ISLANDS,1
17/18,North America,Central America,EL SALVADOR,2
17/18,North America,Central America,HONDURAS,2
17/18,North America,Central America,NICARAGUA,1
17/18,North America,North America,CANADA,14
17/18,North America,North America,MEXICO,14
17/18,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,56
17/18,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,13
17/18,Oceania,Oceania,FIJI,1
17/18,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,2
17/18,South America,South America,BRAZIL,14
17/18,South America,South America,COLOMBIA,8
17/18,South America,South America,ECUADOR,4
17/18,South America,South America,FALKLAND ISLANDS [FALKLAND ISLANDS (MALVINAS)],1
17/18,South America,South America,GUYANA,2
18/19,Africa,Central Africa,ANGOLA,10
18/19,Africa,Central Africa,CAMEROON,6
18/19,Africa,Central Africa,CONGO,2
18/19,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},4
18/19,Africa,East Africa,BURUNDI,1
18/19,Africa,East Africa,DJIBOUTI,1
18/19,Africa,East Africa,ETHIOPIA,1
18/19,Africa,East Africa,KENYA,34
18/19,Africa,East Africa,MADAGASCAR,1
18/19,Africa,East Africa,MALAWI,5
18/19,Africa,East Africa,MAURITIUS,47
18/19,Africa,East Africa,SOMALIA,13
18/19,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",3
18/19,Africa,East Africa,UGANDA,19
18/19,Africa,East Africa,ZAMBIA,8
18/19,Africa,Eastern Africa,SEYCHELLES,3
18/19,Africa,North Africa,ALGERIA,2
18/19,Africa,North Africa,EGYPT,95
18/19,Africa,North Africa,LIBYA,6
18/19,Africa,North Africa,MOROCCO,6
18/19,Africa,North Africa,SUDAN,16
18/19,Africa,North Africa,TUNISIA,2
18/19,Africa,Southern Africa,BOTSWANA,1
18/19,Africa,Southern Africa,NAMIBIA,8
18/19,Africa,Southern Africa,SOUTH AFRICA,29
18/19,Africa,Southern Africa,ZIMBABWE,54
18/19,Africa,West Africa,CAPE VERDE ISLANDS,1
18/19,Africa,West Africa,COTE D'IVOIRE,3
18/19,Africa,West Africa,"GAMBIA, THE",2
18/19,Africa,West Africa,GHANA,23
18/19,Africa,West Africa,GUINEA,1
18/19,Africa,West Africa,NIGERIA,193
18/19,Africa,West Africa,SIERRA LEONE,3
18/19,Asia,Caucasus,AZERBAIJAN,1
18/19,Asia,Central Asia,KAZAKHSTAN,6
18/19,Asia,Central Asia,KYRGYZSTAN,1
18/19,Asia,Central Asia,MONGOLIA,2
18/19,Asia,Central Asia,TURKMENISTAN,1
18/19,Asia,Central Asia,UZBEKISTAN,1
18/19,Asia,East Asia,CHINA,313
18/19,Asia,East Asia,HONG KONG,35
18/19,Asia,East Asia,JAPAN,5
18/19,Asia,East Asia,KOREA (SOUTH),11
18/19,Asia,East Asia,MACAO,1
18/19,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",8
18/19,Asia,Middle East,BAHRAIN,8
18/19,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",12
18/19,Asia,Middle East,IRAQ,9
18/19,Asia,Middle East,ISRAEL,1
18/19,Asia,Middle East,JORDAN,76
18/19,Asia,Middle East,LEBANON,8
18/19,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,1
18/19,Asia,Middle East,OMAN,13
18/19,Asia,Middle East,QATAR,37
18/19,Asia,Middle East,SAUDI ARABIA,51
18/19,Asia,Middle East,SYRIA,11
18/19,Asia,Middle East,TURKEY,13
18/19,Asia,Middle East,YEMEN,1
18/19,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,2
18/19,Asia,South Asia,AFGHANISTAN,1
18/19,Asia,South Asia,BANGLADESH,106
18/19,Asia,South Asia,INDIA,103
18/19,Asia,South Asia,MALDIVES,6
18/19,Asia,South Asia,NEPAL,22
18/19,Asia,South Asia,PAKISTAN,73
18/19,Asia,South Asia,SRI LANKA,21
18/19,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),6
18/19,Asia,Southeast Asia,BURMA/MYANMAR,24
18/19,Asia,Southeast Asia,CAMBODIA,8
18/19,Asia,Southeast Asia,INDONESIA,31
18/19,Asia,Southeast Asia,LAOS,1
18/19,Asia,Southeast Asia,MALAYSIA,419
18/19,Asia,Southeast Asia,PHILIPPINES,39
18/19,Asia,Southeast Asia,SINGAPORE,9
18/19,Asia,Southeast Asia,THAILAND,153
18/19,Asia,Southeast Asia,VIETNAM,268
18/19,Europe,Eastern Europe,BULGARIA,79
18/19,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),1
18/19,Europe,Eastern Europe,CYPRUS EU,95
18/19,Europe,Eastern Europe,CZECH REPUBLIC,70
18/19,Europe,Eastern Europe,HUNGARY,38
18/19,Europe,Eastern Europe,LATVIA,26
18/19,Europe,Eastern Europe,LITHUANIA,66
18/19,Europe,Eastern Europe,MACEDONIA [THE FORMER YUGOSLAV REPUBLIC OF],1
18/19,Europe,Eastern Europe,POLAND,226
18/19,Europe,Eastern Europe,ROMANIA,101
18/19,Europe,Eastern Europe,SLOVAKIA,27
18/19,Europe,Eastern Europe,UKRAINE,4
18/19,Europe,Northern Europe,DENMARK,20
18/19,Europe,Northern Europe,ESTONIA,4
18/19,Europe,Northern Europe,FINLAND,22
18/19,Europe,Northern Europe,ICELAND,1
18/19,Europe,Northern Europe,ISLE OF MAN,2
18/19,Europe,Northern Europe,NORWAY,18
18/19,Europe,Northern Europe,SWEDEN,42
18/19,Europe,Southern Europe,ALBANIA,3
18/19,Europe,Southern Europe,GIBRALTAR,3
18/19,Europe,Southern Europe,GREECE,62
18/19,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",158
18/19,Europe,Southern Europe,KOSOVO,1
18/19,Europe,Southern Europe,MALTA,3
18/19,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,120
18/19,Europe,Southern Europe,SLOVENIA,2
18/19,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,124
18/19,Europe,Western Europe,AUSTRIA,12
18/19,Europe,Western Europe,BELGIUM,15
18/19,Europe,Western Europe,ENGLAND,17
18/19,Europe,Western Europe,FRANCE {INCLUDES CORSICA},74
18/19,Europe,Western Europe,GERMANY,98
18/19,Europe,Western Europe,GUERNSEY,3
18/19,Europe,Western Europe,IRELAND,120
18/19,Europe,Western Europe,JERSEY,2
18/19,Europe,Western Europe,LUXEMBOURG,2
18/19,Europe,Western Europe,NETHERLANDS,103
18/19,Europe,Western Europe,SWITZERLAND,9
18/19,Europe/Asia,Eastern Europe,RUSSIA,15
18/19,North America,Caribbean,ANGUILLA,1
18/19,North America,Caribbean,BAHAMAS,2
18/19,North America,Caribbean,BARBADOS,2
18/19,North America,Caribbean,BERMUDA,13
18/19,North America,Caribbean,BRITISH VIRGIN ISLANDS,4
18/19,North America,Caribbean,CAYMAN ISLANDS,1
18/19,North America,Caribbean,CUBA,1
18/19,North America,Caribbean,DOMINICA,4
18/19,North America,Caribbean,JAMAICA,18
18/19,North America,Caribbean,ST LUCIA,2
18/19,North America,Caribbean,ST VINCENT AND THE GRENADINES,2
18/19,North America,Caribbean,TRINIDAD AND TOBAGO,4
18/19,North America,Central America,EL SALVADOR,1
18/19,North America,Central America,HONDURAS,1
18/19,North America,North America,CANADA,16
18/19,North America,North America,MEXICO,11
18/19,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,59
18/19,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,12
18/19,Oceania,Oceania,FIJI,1
18/19,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,4
18/19,South America,South America,ARGENTINA,1
18/19,South America,South America,BRAZIL,16
18/19,South America,South America,CHILE,1
18/19,South America,South America,COLOMBIA,10
18/19,South America,South America,ECUADOR,4
18/19,South America,South America,FALKLAND ISLANDS [FALKLAND ISLANDS (MALVINAS)],1
18/19,South America,South America,GUYANA,2
18/19,South America,South America,PERU,3
18/19,South America,South America,VENEZUELA,2
19/20,Africa,Central Africa,ANGOLA,10
19/20,Africa,Central Africa,CAMEROON,6
19/20,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},2
19/20,Africa,East Africa,BURUNDI,1
19/20,Africa,East Africa,DJIBOUTI,1
19/20,Africa,East Africa,ERITREA,4
19/20,Africa,East Africa,ETHIOPIA,2
19/20,Africa,East Africa,KENYA,41
19/20,Africa,East Africa,MALAWI,4
19/20,Africa,East Africa,MAURITIUS,55
19/20,Africa,East Africa,RWANDA,1
19/20,Africa,East Africa,SOMALIA,19
19/20,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",3
19/20,Africa,East Africa,UGANDA,20
19/20,Africa,East Africa,ZAMBIA,16
19/20,Africa,Eastern Africa,SEYCHELLES,1
19/20,Africa,North Africa,ALGERIA,6
19/20,Africa,North Africa,EGYPT,89
19/20,Africa,North Africa,LIBYA,2
19/20,Africa,North Africa,MOROCCO,6
19/20,Africa,North Africa,SUDAN,10
19/20,Africa,North Africa,TUNISIA,3
19/20,Africa,Southern Africa,BOTSWANA,1
19/20,Africa,Southern Africa,NAMIBIA,19
19/20,Africa,Southern Africa,SOUTH AFRICA,35
19/20,Africa,Southern Africa,ST HELENA,1
19/20,Africa,Southern Africa,ZIMBABWE,54
19/20,Africa,West Africa,CAPE VERDE ISLANDS,1
19/20,Africa,West Africa,COTE D'IVOIRE,3
19/20,Africa,West Africa,"GAMBIA, THE",4
19/20,Africa,West Africa,GHANA,41
19/20,Africa,West Africa,GUINEA,1
19/20,Africa,West Africa,NIGERIA,243
19/20,Africa,West Africa,SIERRA LEONE,3
19/20,Antarctica,Antarctica,BRITISH ANTARCTICA,1
19/20,Asia,Caucasus,AZERBAIJAN,3
19/20,Asia,Central Asia,KAZAKHSTAN,8
19/20,Asia,Central Asia,MONGOLIA,2
19/20,Asia,Central Asia,TAJIKISTAN,1
19/20,Asia,Central Asia,TURKMENISTAN,1
19/20,Asia,Central Asia,UZBEKISTAN,1
19/20,Asia,East Asia,CHINA,553
19/20,Asia,East Asia,HONG KONG,39
19/20,Asia,East Asia,JAPAN,3
19/20,Asia,East Asia,KOREA (SOUTH),9
19/20,Asia,East Asia,MACAO,1
19/20,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",15
19/20,Asia,Middle East,BAHRAIN,8
19/20,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",18
19/20,Asia,Middle East,IRAQ,14
19/20,Asia,Middle East,ISRAEL,1
19/20,Asia,Middle East,JORDAN,77
19/20,Asia,Middle East,LEBANON,9
19/20,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,1
19/20,Asia,Middle East,OMAN,19
19/20,Asia,Middle East,QATAR,59
19/20,Asia,Middle East,SAUDI ARABIA,72
19/20,Asia,Middle East,SYRIA,12
19/20,Asia,Middle East,TURKEY,19
19/20,Asia,Middle East,UNITED ARAB EMIRATES,1
19/20,Asia,Middle East,YEMEN,1
19/20,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,3
19/20,Asia,South Asia,AFGHANISTAN,1
19/20,Asia,South Asia,BANGLADESH,148
19/20,Asia,South Asia,INDIA,123
19/20,Asia,South Asia,MALDIVES,9
19/20,Asia,South Asia,NEPAL,24
19/20,Asia,South Asia,PAKISTAN,89
19/20,Asia,South Asia,SRI LANKA,23
19/20,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),9
19/20,Asia,Southeast Asia,BURMA/MYANMAR,25
19/20,Asia,Southeast Asia,CAMBODIA,4
19/20,Asia,Southeast Asia,INDONESIA,35
19/20,Asia,Southeast Asia,LAOS,1
19/20,Asia,Southeast Asia,MALAYSIA,431
19/20,Asia,Southeast Asia,PHILIPPINES,43
19/20,Asia,Southeast Asia,SINGAPORE,9
19/20,Asia,Southeast Asia,THAILAND,168
19/20,Asia,Southeast Asia,VIETNAM,256
19/20,Europe,Eastern Europe,BULGARIA,99
19/20,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),1
19/20,Europe,Eastern Europe,CYPRUS EU,80
19/20,Europe,Eastern Europe,CZECH REPUBLIC,67
19/20,Europe,Eastern Europe,HUNGARY,42
19/20,Europe,Eastern Europe,LATVIA,27
19/20,Europe,Eastern Europe,LITHUANIA,71
19/20,Europe,Eastern Europe,"MOLDOVA [MOLDOVA, REPUBLIC OF]",1
19/20,Europe,Eastern Europe,POLAND,272
19/20,Europe,Eastern Europe,ROMANIA,99
19/20,Europe,Eastern Europe,SLOVAKIA,19
19/20,Europe,Eastern Europe,UKRAINE,3
19/20,Europe,Northern Europe,DENMARK,19
19/20,Europe,Northern Europe,ESTONIA,4
19/20,Europe,Northern Europe,FINLAND,32
19/20,Europe,Northern Europe,ICELAND,3
19/20,Europe,Northern Europe,ISLE OF MAN,2
19/20,Europe,Northern Europe,NORWAY,20
19/20,Europe,Northern Europe,SWEDEN,35
19/20,Europe,Southern Europe,ALBANIA,2
19/20,Europe,Southern Europe,CROATIA,1
19/20,Europe,Southern Europe,GIBRALTAR,10
19/20,Europe,Southern Europe,GREECE,67
19/20,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",165
19/20,Europe,Southern Europe,KOSOVO,2
19/20,Europe,Southern Europe,MALTA,3
19/20,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,131
19/20,Europe,Southern Europe,SLOVENIA,4
19/20,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,145
19/20,Europe,Western Europe,AUSTRIA,6
19/20,Europe,Western Europe,BELGIUM,11
19/20,Europe,Western Europe,ENGLAND,8
19/20,Europe,Western Europe,FRANCE {INCLUDES CORSICA},93
19/20,Europe,Western Europe,GERMANY,125
19/20,Europe,Western Europe,GUERNSEY,4
19/20,Europe,Western Europe,IRELAND,127
19/20,Europe,Western Europe,JERSEY,3
19/20,Europe,Western Europe,LUXEMBOURG,2
19/20,Europe,Western Europe,NETHERLANDS,104
19/20,Europe,Western Europe,SWITZERLAND,12
19/20,Europe/Asia,Eastern Europe,RUSSIA,13
19/20,North America,Caribbean,ANTIGUA AND BARBUDA,3
19/20,North America,Caribbean,BAHAMAS,4
19/20,North America,Caribbean,BARBADOS,3
19/20,North America,Caribbean,BERMUDA,7
19/20,North America,Caribbean,BRITISH VIRGIN ISLANDS,6
19/20,North America,Caribbean,CAYMAN ISLANDS,3
19/20,North America,Caribbean,CUBA,1
19/20,North America,Caribbean,DOMINICA,4
19/20,North America,Caribbean,HAITI,1
19/20,North America,Caribbean,JAMAICA,22
19/20,North America,Caribbean,ST LUCIA,1
19/20,North America,Caribbean,ST VINCENT AND THE GRENADINES,2
19/20,North America,Caribbean,TRINIDAD AND TOBAGO,6
19/20,North America,Caribbean,TURKS AND CAICOS ISLANDS,1
19/20,North America,North America,CANADA,21
19/20,North America,North America,MEXICO,15
19/20,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,75
19/20,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,12
19/20,Oceania,Oceania,FIJI,1
19/20,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,7
19/20,South America,South America,ARGENTINA,1
19/20,South America,South America,BRAZIL,20
19/20,South America,South America,CHILE,3
19/20,South America,South America,COLOMBIA,9
19/20,South America,South America,ECUADOR,8
19/20,South America,South America,GUYANA,3
19/20,South America,South America,PERU,5
19/20,South America,South America,VENEZUELA,3
20/21,Africa,Central Africa,ANGOLA,6
20/21,Africa,Central Africa,CAMEROON,9
20/21,Africa,Central Africa,CHAD,1
20/21,Africa,Central Africa,CONGO,1
20/21,Africa,Central Africa,CONGO (DEMOCRATIC REPUBLIC) {FORMERLY ZAIRE},4
20/21,Africa,Central Africa,GABON,1
20/21,Africa,East Africa,ERITREA,7
20/21,Africa,East Africa,ETHIOPIA,2
20/21,Africa,East Africa,KENYA,43
20/21,Africa,East Africa,MADAGASCAR,1
20/21,Africa,East Africa,MALAWI,6
20/21,Africa,East Africa,MAURITIUS,62
20/21,Africa,East Africa,MOZAMBIQUE,1
20/21,Africa,East Africa,RWANDA,3
20/21,Africa,East Africa,SOMALIA,21
20/21,Africa,East Africa,SOUTH SUDAN,1
20/21,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",3
20/21,Africa,East Africa,UGANDA,25
20/21,Africa,East Africa,ZAMBIA,15
20/21,Africa,Eastern Africa,SEYCHELLES,1
20/21,Africa,North Africa,ALGERIA,13
20/21,Africa,North Africa,EGYPT,109
20/21,Africa,North Africa,LIBYA,4
20/21,Africa,North Africa,MOROCCO,12
20/21,Africa,North Africa,SUDAN,18
20/21,Africa,North Africa,TUNISIA,2
20/21,Africa,Southern Africa,BOTSWANA,2
20/21,Africa,Southern Africa,NAMIBIA,9
20/21,Africa,Southern Africa,SOUTH AFRICA,46
20/21,Africa,Southern Africa,ST HELENA,1
20/21,Africa,Southern Africa,ZIMBABWE,71
20/21,Africa,West Africa,COTE D'IVOIRE,1
20/21,Africa,West Africa,"GAMBIA, THE",7
20/21,Africa,West Africa,GHANA,49
20/21,Africa,West Africa,GUINEA,2
20/21,Africa,West Africa,IVORY COAST {COTE D IVOIRE},1
20/21,Africa,West Africa,NIGERIA,425
20/21,Africa,West Africa,SIERRA LEONE,4
20/21,Antarctica,Antarctica,BRITISH ANTARCTICA,1
20/21,Asia,Caucasus,AZERBAIJAN,3
20/21,Asia,Central Asia,KAZAKHSTAN,7
20/21,Asia,Central Asia,KYRGYZSTAN,1
20/21,Asia,Central Asia,UZBEKISTAN,1
20/21,Asia,East Asia,CHINA,564
20/21,Asia,East Asia,HONG KONG,99
20/21,Asia,East Asia,JAPAN,3
20/21,Asia,East Asia,KOREA (SOUTH),9
20/21,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",9
20/21,Asia,Middle East,BAHRAIN,10
20/21,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",17
20/21,Asia,Middle East,IRAQ,14
20/21,Asia,Middle East,ISRAEL,2
20/21,Asia,Middle East,JORDAN,81
20/21,Asia,Middle East,KUWAIT,3
20/21,Asia,Middle East,LEBANON,9
20/21,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,2
20/21,Asia,Middle East,OMAN,45
20/21,Asia,Middle East,QATAR,107
20/21,Asia,Middle East,SAUDI ARABIA,83
20/21,Asia,Middle East,SYRIA,15
20/21,Asia,Middle East,TURKEY,25
20/21,Asia,Middle East,UNITED ARAB EMIRATES,3
20/21,Asia,Middle East,YEMEN,3
20/21,Asia,Middle East,YEMEN SOUTH/ADEN/SOCOTRA,2
20/21,Asia,South Asia,AFGHANISTAN,1
20/21,Asia,South Asia,BANGLADESH,239
20/21,Asia,South Asia,INDIA,348
20/21,Asia,South Asia,MALDIVES,11
20/21,Asia,South Asia,NEPAL,47
20/21,Asia,South Asia,PAKISTAN,241
20/21,Asia,South Asia,SRI LANKA,61
20/21,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),12
20/21,Asia,Southeast Asia,BURMA/MYANMAR,20
20/21,Asia,Southeast Asia,CAMBODIA,2
20/21,Asia,Southeast Asia,INDONESIA,32
20/21,Asia,Southeast Asia,LAOS,1
20/21,Asia,Southeast Asia,MALAYSIA,323
20/21,Asia,Southeast Asia,PHILIPPINES,37
20/21,Asia,Southeast Asia,SINGAPORE,6
20/21,Asia,Southeast Asia,THAILAND,127
20/21,Asia,Southeast Asia,VIETNAM,162
20/21,Europe,Eastern Europe,BULGARIA,101
20/21,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),1
20/21,Europe,Eastern Europe,CYPRUS EU,69
20/21,Europe,Eastern Europe,CZECH REPUBLIC,70
20/21,Europe,Eastern Europe,HUNGARY,45
20/21,Europe,Eastern Europe,LATVIA,29
20/21,Europe,Eastern Europe,LITHUANIA,76
20/21,Europe,Eastern Europe,"MOLDOVA [MOLDOVA, REPUBLIC OF]",1
20/21,Europe,Eastern Europe,POLAND,303
20/21,Europe,Eastern Europe,ROMANIA,109
20/21,Europe,Eastern Europe,SLOVAKIA,17
20/21,Europe,Eastern Europe,UKRAINE,4
20/21,Europe,Northern Europe,DENMARK,15
20/21,Europe,Northern Europe,ESTONIA,4
20/21,Europe,Northern Europe,FINLAND,33
20/21,Europe,Northern Europe,ICELAND,4
20/21,Europe,Northern Europe,ISLE OF MAN,4
20/21,Europe,Northern Europe,NORWAY,17
20/21,Europe,Northern Europe,SWEDEN,32
20/21,Europe,Southern Europe,ALBANIA,2
20/21,Europe,Southern Europe,CROATIA,4
20/21,Europe,Southern Europe,GIBRALTAR,10
20/21,Europe,Southern Europe,GREECE,68
20/21,Europe,Southern Europe,"ITALY {INCLUDES SARDINA, SICILY}",164
20/21,Europe,Southern Europe,KOSOVO,2
20/21,Europe,Southern Europe,MALTA,2
20/21,Europe,Southern Europe,PORTUGAL/MADEIRA/AZORES,150
20/21,Europe,Southern Europe,SLOVENIA,4
20/21,Europe,Southern Europe,SPAIN/CANARY ISLANDS/CEUTA/MELILLA,155
20/21,Europe,Western Europe,AUSTRIA,7
20/21,Europe,Western Europe,BELGIUM,8
20/21,Europe,Western Europe,ENGLAND,6
20/21,Europe,Western Europe,FRANCE {INCLUDES CORSICA},76
20/21,Europe,Western Europe,GERMANY,102
20/21,Europe,Western Europe,GUERNSEY,4
20/21,Europe,Western Europe,IRELAND,137
20/21,Europe,Western Europe,JERSEY,7
20/21,Europe,Western Europe,LUXEMBOURG,1
20/21,Europe,Western Europe,NETHERLANDS,111
20/21,Europe,Western Europe,SWITZERLAND,10
20/21,Europe/Asia,Eastern Europe,RUSSIA,11
20/21,North America,Caribbean,ANTIGUA AND BARBUDA,3
20/21,North America,Caribbean,BAHAMAS,4
20/21,North America,Caribbean,BARBADOS,3
20/21,North America,Caribbean,BERMUDA,6
20/21,North America,Caribbean,BRITISH VIRGIN ISLANDS,7
20/21,North America,Caribbean,CAYMAN ISLANDS,4
20/21,North America,Caribbean,DOMINICA,4
20/21,North America,Caribbean,HAITI,1
20/21,North America,Caribbean,JAMAICA,23
20/21,North America,Caribbean,ST VINCENT AND THE GRENADINES,1
20/21,North America,Caribbean,TRINIDAD AND TOBAGO,4
20/21,North America,Caribbean,TURKS AND CAICOS ISLANDS,1
20/21,North America,Central America,PANAMA,1
20/21,North America,North America,CANADA,23
20/21,North America,North America,MEXICO,16
20/21,North America,North America,UNITED STATES OF AMERICA/US VIRGIN ISLES,88
20/21,Oceania,Oceania,AUSTRALIA/CHRISTMAS/KEELING ISLANDS/COCOS ISLANDS,13
20/21,Oceania,Oceania,FIJI,1
20/21,Oceania,Oceania,NEW ZEALAND/COKELAU/NIUE,6
20/21,South America,South America,ARGENTINA,2
20/21,South America,South America,BRAZIL,17
20/21,South America,South America,CHILE,4
20/21,South America,South America,COLOMBIA,8
20/21,South America,South America,ECUADOR,10
